Paper,Summary Name,Precision,Recall
P99-1067,abstract-summary,1,1
P99-1067,naive-summary,3,3
P99-1067,longest-ngram-sentence,3,3
P99-1067,best-ngram-sentence,3,3
C92-2082,abstract-summary,4,4
C92-2082,naive-summary,4,3
C92-2082,longest-ngram-sentence,4,3
C92-2082,best-ngram-sentence,4,3
J02-3001,abstract-summary,5,3
J02-3001,naive-summary,3,3
J02-3001,longest-ngram-sentence,5,1
J02-3001,best-ngram-sentence,3,3
P05-1034,abstract-summary,5,4
P05-1034,naive-summary,3,3
P05-1034,longest-ngram-sentence,3,3
P05-1034,best-ngram-sentence,3,3
P99-1067,abstract-summary,5,3
P99-1067,naive-summary,3,3
P99-1067,longest-ngram-sentence,3,2
P99-1067,best-ngram-sentence,4,3
P06-1121,abstract-summary,5,4
P06-1121,naive-summary,1,2
P06-1121,longest-ngram-sentence,5,3
P06-1121,best-ngram-sentence,5,3
C96-1058,abstract-summary,5,4
C96-1058,naive-summary,2,4
C96-1058,longest-ngram-sentence,0,2
C96-1058,best-ngram-sentence,1,3
P05-1034,abstract-summary,5,5
P05-1034,naive-summary,5,3
P05-1034,longest-ngram-sentence,5,3
P05-1034,best-ngram-sentence,5,3
